"sku","name"
"Blacktie140-5","Dior BLACKTIE140 SFC Havana Black"
"Blacktie140-6","Dior BLACKTIE140 TSM Black"
"Blacktie141-1","Dior BLACKTIE141 086 Dark Havana"
"Blacktie141-2","Dior BLACKTIE141 807 Black"
"Blacktie141-3","Dior BLACKTIE141 E6F Dark Havana Red"
"Blacktie141-4","Dior BLACKTIE141 F8Z Blue Black"
"Blacktie141-5","Dior BLACKTIE141 TSM Grey Black"
"blacktie142-1","Dior BLACKTIE142 086 Dark Havana"
"blacktie142-2","Dior BLACKTIE142 807 Black"
"blacktie142-3","Dior BLACKTIE142 E4E Havana Red"
"blacktie142-4","Dior BLACKTIE142 E4G Brown Grey"
"blacktie142-5","Dior BLACKTIE142 E4K Black Red"
"blacktie142-6","Dior BLACKTIE142 T5N Blue Black"
"blacktie144S-1","Dior BLACKTIE144S 807BN Black/Dark Grey"
"blacktie144s-2","Dior BLACKTIE144S E4EHA Havana Red/Brown SF"
"blacktie144s-3","Dior BLACKTIE144S E4FHD White Black/Grey Shaded"
"Blacktie144s-4","Dior BLACKTIE144S E4GSB Brown Grey/Red Brown"
"blacktie144s-5","Dior BLACKTIE144S E4JPT Black Yellow/Grey Shaded"
"blacktie144s-6","Dior BLACKTIE144S T5NHA Black Blue/Brown SF"
"blacktie145s-1","Dior BLACKTIE145S 086BN Dark Havana/Dark Grey"
"blacktie145s-2","Dior BLACKTIE145S 807BN Black/Dark Grey"
"blacktie145s-3","Dior BLACKTIE145S E4EHA Havana Red/Brown SF"
"blacktie145s-4","Dior BLACKTIE145S E4GSB Brown Grey/Red Brown"
"blacktie145s-5","Dior BLACKTIE145S E4KBN Black Red/Dark Grey"
"blacktie145s-6","Dior BLACKTIE145S T5NHA Black Blue/Brown SF"
"Blacktie146s-1","Dior BLACKTIE146S AM53H Black Crystal/Grey Polarized"
"Blacktie146S-2","Dior BLACKTIE146S AM5HD Black Crystal Grey "
"Blacktie146S-3","Dior BLACKTIE146S AM6HA Dark Havana/Brown"
"Blacktie146S-4","Dior BLACKTIE146S M5WHD Grey Black/Grey"
"Blacktie146S-5","Dior BLACKTIE146S M5YHA Light Grey/Brown"
"Blacktie146S-6","Dior BLACKTIE146S AM6SP Dark Havana/Bronze Polarized"
"Blacktie146S-7","Dior BLACKTIE147S M5XHA Brown Green/Brown"
"Blacktie147S-1","Dior BLACKTIE147S AM53H Black/Grey Polarized"
"Blacktie147s-2","Dior BLACKTIE147S AM5Y1 Black/Grey"
"Blacktie147s-3","Dior BLACKTIE147S AM670 Dark Havana/Brown"
"Blacktie147S-4","Dior BLACKTIE147S AM6SP Dark Havana/Bronze Polarized"
"Blacktie147S-5","Dior BLACKTIE147S M5SBN Black Grey/Dark Grey"
"Blacktie147S-6","Dior BLACKTIE147S M5WBN Grey Black/Dark Grey"
"Blacktie147S-8","Dior BLACKTIE147S M5YN3 Light Grey Black/Grey"
